drug_1,drug_2,similarity
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN ASPART PROTAMINE RECOMBINANT,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN LISPRO-AABC,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
LEVOBUPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,0.8636
LEVOBUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,1.0
DAPAGLIFLOZIN PROPYLENE GLYCOL,BEXAGLIFLOZIN,0.7679
INSULIN PEGLISPRO,INSULIN SENSITIZER S-707106,1.0
INSULIN PEGLISPRO,INSULIN DEGLUDEC,0.935
INSULIN PEGLISPRO,INSULIN PURIFIED PORK,1.0
INSULIN PEGLISPRO,INSULIN ZINC SUSP PURIFIED PORK,1.0
INSULIN PEGLISPRO,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN PEGLISPRO,INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
INSULIN PEGLISPRO,"INSULIN ZINC, EXTENDED",1.0
INSULIN PEGLISPRO,INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
INSULIN PEGLISPRO,INSULIN ASPART PROTAMINE RECOMBINANT,1.0
INSULIN PEGLISPRO,INSULIN LISPRO-AABC,1.0
INSULIN PEGLISPRO,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
INSULIN PEGLISPRO,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
ETHYLESTRENOL,ALLYLESTRENOL,0.76
ETHYLESTRENOL,ORGANON,0.76
PIPECURONIUM BROMIDE,VECURONIUM BROMIDE,0.7273
TALAMPANEL,GYKI53655,0.7963
HETEROCODEINE,MORPHINE SULFATE,0.7193
INDOLE-3-ACETIC ACID,INDOLE-3-PROPIONIC ACID,0.7419
AESCULIOSIDE IIB,AESCULIOSIDE IID,0.954
AESCULIOSIDE IIB,AESCULIOSIDE IIIA,0.9022
AESCULIOSIDE IIB,AESCULIOSIDE IIID,0.7979
AESCULIOSIDE IIB,AESCULIOSIDE IIE,0.7732
AESCULIOSIDE IIB,AESCULIOSIDE IIIE,0.7979
AESCULIOSIDE IIB,AESCULIOSIDE IVC,0.77
AESCULIOSIDE IID,AESCULIOSIDE IIIA,0.8617
AESCULIOSIDE IID,AESCULIOSIDE IIID,0.7604
AESCULIOSIDE IID,AESCULIOSIDE IIE,0.7374
AESCULIOSIDE IID,AESCULIOSIDE IIIE,0.7604
AESCULIOSIDE IID,AESCULIOSIDE IVC,0.7353
SIPONIMOD,SIPONIMOD FUMARATE,0.942
BAY-1161909,EMPESERTIB,1.0
TELAPRISTONE,TELAPRISTONE ACETATE,0.7746
LONAPRISAN,ZK112993,0.7
NRX195183,IRX-5183,1.0
EPIDERMAL GROWTH FACTOR,KISSPEPTIN-54,0.7326
EPIDERMAL GROWTH FACTOR,SLOTOXIN,0.7531
EPIDERMAL GROWTH FACTOR,GASTRIN-RELEASING PEPTIDE,0.805
EPIDERMAL GROWTH FACTOR,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.7531
EPIDERMAL GROWTH FACTOR,F PEPTIDE,0.703
TEMANOGREL,APD791,1.0
L-NAME,L-NNA,0.7368
APELIN-17,APELIN-13,0.8559
APELIN-17,[125I]APELIN-13,0.8559
APELIN-17,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.7429
[3H]DPCPX,APAXIFYLLINE,0.7674
[3H]DPCPX,CPFPX,0.8372
MF101,MENERBA,1.0
MF101,4'-HYDROXY-FLAVANONE,0.7297
LTB4,20-HYDROXY-LTB4,0.7561
LTB4,5-OXO-12-HETE,0.7442
LTB4,12S-HETE,0.7381
LTB4,12R-HETE,0.7381
FLPLAR,BM213,0.8148
FLPLAR,NEUROPEPTIDE FF,0.7683
FLPLAR,[125I]NPFF,0.7683
SAFIT2,SAFIT1,0.7841
M35,KISSPEPTIN-54,0.7419
M35,M617,0.968
M35,M40,0.808
M35,GAL-B5,0.7266
M35,GALANIN(1-19) (HUMAN),0.705
GALP(1-32) (HUMAN),"[3H]MCH (HUMAN, MOUSE, RAT)",0.7032
GALP(1-32) (HUMAN),APELIN-36,0.7362
GALP(1-32) (HUMAN),SERACTIDE ACETATE,0.7289
GALP(1-32) (HUMAN),GASTRIN-RELEASING PEPTIDE,0.7239
GALP(1-32) (HUMAN),[125I][TYR26]GALANIN (HUMAN),0.8105
GALP(1-32) (HUMAN),"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.7403
GALP(1-32) (HUMAN),[125I]EXENDIN-(9-39),0.7048
GALP(1-32) (HUMAN),GASTRIN RELEASING PEPTIDE(14-27) (HUMAN),0.7933
GALP(1-32) (HUMAN),S36077,0.7047
GALP(1-32) (HUMAN),GALANIN(1-19) (HUMAN),0.7383
GALP(1-32) (HUMAN),[125I]PRRP31,0.7744
GALP(1-32) (HUMAN),TIP39-(9-39) (HUMAN/BOVINE),0.7355
GALANIN(10-29) (RAT/MOUSE),OSTN (81-102),0.7368
GALANIN(10-29) (RAT/MOUSE),PTHRP-(1-34) (HUMAN),0.7252
GALANIN(10-29) (RAT/MOUSE),"[125I]UROCORTIN 1 (MOUSE, RAT)",0.7246
GALANIN(10-29) (RAT/MOUSE),[125I][TYR26]GALANIN (HUMAN),0.7279
GALANIN(10-29) (RAT/MOUSE),V3 PEPTIDE,0.7305
GALANIN(10-29) (RAT/MOUSE),OREXIN-B,0.7113
GALANIN(10-29) (RAT/MOUSE),PTHRP-(1-36),0.7328
"ORNITHINE, (L)-ISOMER",ORNITHINE DECARBOXYLASE INHIBITOR,1.0
"ORNITHINE, (L)-ISOMER",LYSINE,0.8571
"ORNITHINE, (L)-ISOMER",MESO-DAP,0.75
UR-PG55B,OXO-ARPROMIDINE,0.8
(S)-3-HYDROXY-3-METHYLGLUTARYL-COA,[14C]ACETYLCOA,0.8316
(S)-3-HYDROXY-3-METHYLGLUTARYL-COA,LYS-COA,0.7182
ANTI-BRP-LPA,[1-BROMO-(3S)-HYDROX-4-(PALMITOYLOXY)BUTYL]PHOSPHATE,0.7857
C7/3-PHTH,[3H]DIMETHYL-W84,0.7105
N-CHLOROMETHYL-BRUCINE,BRUCINE N-OXIDE,0.7826
MRS2298,MRS2496,0.7451
BMS-986104 DERIVATIVE 24,BMS-986104 DERIVATIVE 12,0.7719
RO3280,PLOGOSERTIB,0.775
TELOTRISTAT ETIPRATE,TELOTRISTAT,0.759
YTTRIUM Y 90 EPRATUZUMAB,YTTRIUM Y 90 CAPROMAB PENDETIDE,1.0
YTTRIUM Y 90 EPRATUZUMAB,YTTRIUM (90Y) CLIVATUZUMAB TETRAXETAN,1.0
YTTRIUM Y 90 EPRATUZUMAB,YTTRIUM Y 90 LABETUZUMAB,1.0
YTTRIUM Y 90 EPRATUZUMAB,YTTRIUM Y 90 EPRATUZUMAB TETRAXETAN,1.0
YTTRIUM Y 90 EPRATUZUMAB,YTTRIUM Y 90 TACATUZUMAB TETRAXETAN,1.0
AZD-4017,AZD4017,1.0
GLYCYL-[13C3]-SARCOSINE,[3H]GLYSAR,1.0
BEVANTOLOL HYDROCHLORIDE,(-)-RO 363,0.7037
DBRD9-A,DBRD9,0.8866
JNJ-38877605,OMO-1,0.7241
"PYY-(13-36) (MOUSE, RAT, PIG)","[125I]UROCORTIN 1 (MOUSE, RAT)",0.7462
"PYY-(13-36) (MOUSE, RAT, PIG)",NPY-(20-36) (PIG),0.7373
"PYY-(13-36) (MOUSE, RAT, PIG)",CT-(8-32) (SALMON),0.7557
"PYY-(13-36) (MOUSE, RAT, PIG)","NPY-(18-36) (HUMAN, PIG)",0.735
"PYY-(13-36) (MOUSE, RAT, PIG)",[125I]BAY 55-9837,0.7008
"PYY-(13-36) (MOUSE, RAT, PIG)",[125I]CT (SALMON),0.7463
"PYY-(13-36) (MOUSE, RAT, PIG)",NPY-(16-36) (PIG),0.7373
NGX-267,NGX267,1.0
CORTODOXONE,CORTISONE,0.7407
CIRSIMARITIN,EUPATORIN,0.7778
IOBENGUANE I-123,IOBENGUANE,1.0
METRH,AZETIRELIN,0.746
LEVOCABASTINE,LEVOCABASTINE HYDROCHLORIDE,0.98
IFETROBAN SODIUM,IFETROBAN,0.8507
CR-6086,CR6086,1.0
PHENYLALANINE,TYROSINE,0.7037
PHENYLALANINE,TYROSINE HYDROXYLASE INHIBITOR,0.7037
LENTINAN,BETA-GENTIOBIOSE,0.7429
DEGARELIX ACETATE,ITURELIX,0.7381
CORTISONE ACETATE,CORTISONE,0.7759
OSIMERTINIB MESYLATE,BEFOTERTINIB,0.7831
OSIMERTINIB MESYLATE,REZIVERTINIB,0.7875
CHF4227,CHF 4227,1.0
PF-00477736,PF-477736,1.0
DENUFOSOL TETRASODIUM,UP3U,0.7031
ABEQUOLIXRON,GW3965,0.7424
AZD-1656,AZD1656,1.0
NADROPARIN CALCIUM,CERTOPARIN SODIUM,1.0
NADROPARIN CALCIUM,BEMIPARIN SODIUM,1.0
AESCULIOSIDE IIIA,AESCULIOSIDE IIID,0.74
AESCULIOSIDE IIIA,AESCULIOSIDE IIE,0.7353
AESCULIOSIDE IIIA,AESCULIOSIDE IIIE,0.74
AESCULIOSIDE IIIA,AESCULIOSIDE IVC,0.7333
DENATONIUM BENZOATE,DENATONIUM,0.8372
PREDNISOLONE HEMISUCCINATE,HYDROCORTISONE HEMISUCCINATE,0.7353
PREDNISOLONE HEMISUCCINATE,PREDNISOLONE SODIUM SUCCINATE,0.8462
GW828525X,GW827106X,0.7794
GW828525X,GW827099X,0.8308
GW828525X,GW832467X,0.7826
DODECYL GALLATE,PROPYL GALLATE,0.75
GW513184X,GW643971X,0.7541
ALTISSIMACOUMARIN C,ALTISSIMACOUMARIN E,0.7097
LUZINDOLE,DH97,0.7143
CEPHALOTHIN SODIUM,CEPHALOTHIN,0.85
DITHIAZANINE,ALAZANINE,0.9167
ARQ-621,EG5 KINESIN-RELATED MOTOR PROTEIN INHIBITOR ARQ 621,1.0
TRODUSQUEMINE,SQUALAMINE LACTATE,0.9167
P-[18F]MPPF,[3H]P-MPPF,0.8421
[14C]ACETYLCOA,LYS-COA,0.7573
ORG27569,GAT100,0.7273
"L-759,656","L-759,633",0.7097
[125I]CT (HUMAN),HUMAN GIP(3-30)NH2,0.7143
[125I]CT (HUMAN),SLOTOXIN,0.7063
[125I]CT (HUMAN),HUMANIN,0.7086
[125I]CT (HUMAN),"[125I]NPY (HUMAN, MOUSE, RAT)",0.758
[125I]CT (HUMAN),CT-(8-32) (SALMON),0.7383
[125I]CT (HUMAN),[125I]CT (SALMON),0.7651
[125I]CT (HUMAN),KBP-088,0.8188
HUMAN GIP(3-30)NH2,[125I]GLP-1-(7-36)-AMIDE,0.7857
HUMAN GIP(3-30)NH2,"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.8058
HUMAN GIP(3-30)NH2,GLUCAGON-LIKE PEPTIDE 1-(7-37),0.7914
HUMAN GIP(3-30)NH2,APRAGLUTIDE,0.75
HUMAN GIP(3-30)NH2,GLUCAGON-LIKE PEPTIDE 2,0.837
HUMAN GIP(3-30)NH2,DASIGLUCAGON,0.7075
HUMAN GIP(3-30)NH2,[125I]GLP-1-(7-37) (HUMAN),0.7914
CAROTEGRAST METHYL,CAROTEGRAST,0.8485
SILYBIN,ISOSILYBIN A,1.0
KISSPEPTIN-54,SLOTOXIN,0.7108
KISSPEPTIN-54,M617,0.7677
KISSPEPTIN-54,GASTRIN-RELEASING PEPTIDE,0.7289
KISSPEPTIN-54,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.7423
KISSPEPTIN-54,NPY,0.7756
COMPOUND 10 [PMID: 18790648],COMPOUND 22 [PMID: 19899765],0.7051
N/OFQ-NH2,[3H]N/OFQ,0.9348
SB-674042,[3H]SB-674042,1.0
APROTININ,ELAFIN,0.7
APROTININ,TIPRELESTAT,0.7
BULEVIRTIDE,APELIN-36,0.7044
BULEVIRTIDE,[125I][TYR26]GALANIN (HUMAN),0.7208
AGATOLIMOD,AGATOLIMOD SODIUM,0.7238
PROPENTOFYLLINE,LOMIFYLLINE,0.7045
SB258585,[125I]SB258585,1.0
MUNDULONE,MUNDULONE ACETATE,0.8226
ITURELIX,GANIRELIX ACETATE,0.7438
CARPHENAZINE MALEATE,ACETOPHENAZINE MALEATE,0.8276
T-KININ,[125I][TYR8]BRADYKININ,0.7849
T-KININ,"[DES-PHE9,DES-ARG10]KALLIDIN",0.7188
T-KININ,[3H]LYS-[DES-ARG9]BK,0.7766
T-KININ,[3H]LYS-[LEU8][DES-ARG9]BK,0.7653
T-KININ,KALLIDIN,0.7957
T-KININ,R-715,0.7075
T-KININ,[DES-ARG11]T-KININ,0.9765
T-KININ,"[DES-PRO8,DES-PHE9,DES-ARG10]KALLIDIN",0.7447
T-KININ,"[LEU8,DES-ARG9]BRADYKININ",0.7849
APELIN-13,SUBSTANCE P,0.7203
APELIN-13,[125I]APELIN-13,1.0
APELIN-13,SOR-C13,0.7317
APELIN-13,"[125I]SP (HUMAN, MOUSE, RAT)",0.7203
APELIN-13,ELABELA/TODDLER-11,0.7154
APELIN-13,"[3H]SP (HUMAN, MOUSE, RAT)",0.7203
TELAVANCIN,VANCOMYCIN,0.7338
[11C]BUTYLTHIO-TZTP,PENTYLTHIO-TZTP,0.9286
SQ-29548,[125I]SQ-29548,0.8364
SQ-29548,[3H]SQ-29548,1.0
OSEMOZOTAN,MN-305,0.9778
SMC021,CALCITONIN GENE-RELATED PEPTIDE,1.0
ALFLUTINIB,FIRMONERTINIB,1.0
RAFUTROMBOPAG,HETROMBOPAG OLAMINE,0.8955
YOHIMBINE HYDROCHLORIDE,CORYNANTHINE,0.9811
YOHIMBINE HYDROCHLORIDE,[3H]RAUWOLSCINE,0.9811
BENZAMIL,BENZAMIL HYDROCHLORIDE,0.9762
METOLACHOR,S-METOLACHLOR,1.0
LONCHOCARPIC ACID,SCANDENIN,0.871
TRIPTORELIN,GNRH I,0.8571
TRIPTORELIN,TRIPTORELIN PAMOATE,0.871
TRIPTORELIN,GNRH III,0.7436
FLUOXETINE / OLANZAPINE,(S)-FLUOXETINE,1.0
FLUOXETINE / OLANZAPINE,NORFLUOXETINE,0.7
PRECLAMOL HYDROCHLORIDE,PRECLAMOL,0.973
INSULIN SENSITIZER S-707106,INSULIN DEGLUDEC,0.935
INSULIN SENSITIZER S-707106,INSULIN PURIFIED PORK,1.0
INSULIN SENSITIZER S-707106,INSULIN ZINC SUSP PURIFIED PORK,1.0
INSULIN SENSITIZER S-707106,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN SENSITIZER S-707106,INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
INSULIN SENSITIZER S-707106,"INSULIN ZINC, EXTENDED",1.0
INSULIN SENSITIZER S-707106,INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
INSULIN SENSITIZER S-707106,INSULIN ASPART PROTAMINE RECOMBINANT,1.0
INSULIN SENSITIZER S-707106,INSULIN LISPRO-AABC,1.0
INSULIN SENSITIZER S-707106,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
INSULIN SENSITIZER S-707106,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
AMODIAQUINE,AMODIAQUINE DIHYDROCHLORIDE,0.9787
BMS-387032,CDK INHIBITOR SNS-032,1.0
CERTOPARIN SODIUM,BEMIPARIN SODIUM,1.0
(R)-FLUROCARAZOLOL,CARAZOLOL,0.8261
AZD3839,AZD-3839,1.0
B-9858,B-9430,0.8611
[125I][TYR8]BRADYKININ,"[DES-PHE9,DES-ARG10]KALLIDIN",0.7527
[125I][TYR8]BRADYKININ,[3H]LYS-[DES-ARG9]BK,0.8132
[125I][TYR8]BRADYKININ,[3H]LYS-[LEU8][DES-ARG9]BK,0.7629
[125I][TYR8]BRADYKININ,KALLIDIN,0.8333
[125I][TYR8]BRADYKININ,[DES-ARG11]T-KININ,0.766
[125I][TYR8]BRADYKININ,"[DES-PRO8,DES-PHE9,DES-ARG10]KALLIDIN",0.7802
[125I][TYR8]BRADYKININ,"[LEU8,DES-ARG9]BRADYKININ",0.8427
TTT-3002,K 252A,0.7083
ASPIRIN TRIGGERED LIPOXIN A4,LXA4,1.0
BU-E 47,ARPROMIDINE,0.8525
PROXYFAN,[123I]IODOPROXYFAN,0.7436
PROXYFAN,IODOPROXYFAN,0.7436
GSK494581A,GSK575594A,0.7302
ERIODICTYOL CHALCONE,"4,2',4',6'-TETRAHYDROXYCHALCONE",0.75
ONO-9780307,ONO-9910539,0.7465
"[3H]MCH (HUMAN, MOUSE, RAT)",CHGB (511-532),0.7
"[3H]MCH (HUMAN, MOUSE, RAT)",VARIANT MCH,0.7984
"[3H]MCH (HUMAN, MOUSE, RAT)",GASTRIN RELEASING PEPTIDE(14-27) (HUMAN),0.7518
"[3H]MCH (HUMAN, MOUSE, RAT)",S36077,0.8125
"[3H]MCH (HUMAN, MOUSE, RAT)",[125I]KISSPEPTIN-14 (HUMAN),0.7578
"[3H]MCH (HUMAN, MOUSE, RAT)",F PEPTIDE,0.7211
MT-45,4F-MT-45,0.8293
AMRUBICIN HYDROCHLORIDE,AMRUBICIN,0.9815
MIRISTALKONIUM CHLORIDE,BENZODODECINIUM CHLORIDE,1.0
GALACTITOL,PERSEITOL,0.9167
METOPROLOL SUCCINATE,METOPROLOL FUMARATE,0.8125
[18F]ALTANSERIN,KETANSERIN TARTRATE,0.7333
(-)-NORFENFLURAMINE,(+)-NORFENFLURAMINE,1.0
(-)-NORFENFLURAMINE,NORFENFLURAMINE,1.0
APELIN-36,SERACTIDE ACETATE,0.8089
APELIN-36,GASTRIN-RELEASING PEPTIDE,0.7267
APELIN-36,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.7628
APELIN-36,SHAAGTIDE,0.7748
APELIN-36,GLUCAGON-LIKE PEPTIDE 2,0.7013
APELIN-36,KBP-088,0.717
ELABELA/TODDLER-21,ELABELA/TODDLER-32,0.9134
ELABELA/TODDLER-21,CGEN-857,0.7246
ELABELA/TODDLER-21,[125I]CT (SALMON),0.7113
ELABELA/TODDLER-21,ELABELA/TODDLER-11,0.7244
OSTN (81-102),[125I]NEUROMEDIN U-25 (HUMAN),0.7109
OSTN (81-102),SOR-C13,0.712
OSTN (81-102),CT-(8-32) (SALMON),0.7185
MIRIPIRIUM CHLORIDE,MIRIPIRIUM,0.9565
SSR125543A,CRINECERFONT,1.0
UROCORTIN 3,NPY,0.7241
BEROTRALSTAT,BEROTRALSTAT HYDROCHLORIDE,0.9867
SLOTOXIN,SERACTIDE ACETATE,0.7117
SLOTOXIN,GASTRIN-RELEASING PEPTIDE,0.7389
SLOTOXIN,HUMANIN,0.7586
SLOTOXIN,F PEPTIDE,0.7006
ME67,ALEMCINAL,0.7471
ME67,EM-523,0.7333
MELK INHIBITOR OTS167,OTSSP167,1.0
INTERLEUKIN-8,CXCL8,1.0
ORNITHINE DECARBOXYLASE INHIBITOR,LYSINE,0.8571
ORNITHINE DECARBOXYLASE INHIBITOR,MESO-DAP,0.75
CEP-2563 DIHYDROCHLORIDE,CEP-2563,1.0
LINOLENIC ACID,ARACHIDONIC ACID,0.7
[11C]WAY100635,REC 15/3079,0.7121
MRS928,PENTAMETHYLQUERCETIN,0.75
ROPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,0.8636
CHRYSIN,5-HYDROXYFLAVONE,0.7429
LYSINE,MESO-DAP,0.7143
INSULIN DEGLUDEC,INSULIN PURIFIED PORK,0.935
INSULIN DEGLUDEC,INSULIN ZINC SUSP PURIFIED PORK,0.935
INSULIN DEGLUDEC,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,0.935
INSULIN DEGLUDEC,INSULIN ZINC SUSP PROMPT PURIFIED PORK,0.935
INSULIN DEGLUDEC,"INSULIN ZINC, EXTENDED",0.935
INSULIN DEGLUDEC,INSULIN ZINC SUSP RECOMBINANT HUMAN,0.935
INSULIN DEGLUDEC,INSULIN ASPART PROTAMINE RECOMBINANT,0.935
INSULIN DEGLUDEC,INSULIN LISPRO-AABC,0.935
INSULIN DEGLUDEC,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,0.935
INSULIN DEGLUDEC,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,0.935
TETRAMETHRIN,(1R)-TRANS-TETRAMETHRIN,1.0
GANTACURIUM CHLORIDE,GANTACURIUM,1.0
OCTANOL,DOCOSANOL,1.0
QUERCETIN DIHYDRATE,TAMARIXETIN,0.7045
FLAVOKAWAIN B,FLAVOKAWAIN A,0.825
13-CIS-RETINAL,11-CIS-RETINAL,1.0
PROTOPORPHYRIN,PROTOPORPHYRIN DISODIUM,0.8
PROTOPORPHYRIN,PROTOPORPHYRIN IX CONTAINING CO,1.0
DIAPEP 277,DIAPEP-277,1.0
IODOPHTHALEIN,TETRA-IODOPHENOLPHTHALEIN,0.7949
VAPREOTIDE ACETATE,BIM 23127,0.8381
VAPREOTIDE ACETATE,BIM 23023,0.7757
[3H]BQ123,BQ-123,1.0
ECOTHIOPATE,ECHOTHIOPHATE,1.0
DIHYDROGAMBOGIC ACID,GARCINOLIC ACID,0.7045
LY2181308,CUSTIRSEN,0.8205
MRT67307,COMPOUND 17D [PMID: 23099093],0.7162
[125I]KISSPEPTIN-10 (HUMAN),[125I]KISSPEPTIN-13 (HUMAN),0.781
[125I]KISSPEPTIN-10 (HUMAN),[125I]KISSPEPTIN-14 (HUMAN),0.7339
SERTACONAZOLE NITRATE,ARASERTACONAZOLE,0.871
AMCINONIDE,TRIAMCINOLONE HEXACETONIDE,0.7273
BETAXOLOL HYDROCHLORIDE,CICLOPROLOL,0.7872
BETAXOLOL HYDROCHLORIDE,LEVOBETAXOLOL,0.9773
SERACTIDE ACETATE,GASTRIN-RELEASING PEPTIDE,0.7407
SERACTIDE ACETATE,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.7117
SERACTIDE ACETATE,MODIMELANOTIDE,0.7733
SERACTIDE ACETATE,GASTRIN RELEASING PEPTIDE(14-27) (HUMAN),0.7197
SERACTIDE ACETATE,KBP-088,0.7205
SERACTIDE ACETATE,[125I]PRRP31,0.7076
FARGLITAZAR,GW7845,0.8281
TELBIVUDINE,THYMIDINE MONOPHOSPHATE,0.7021
ARTICAINE HYDROCHLORIDE,ARTICAINE,0.975
AMA0076,COMPOUND 8 [PMID: 25898023],0.7576
FARAMPATOR,CX-717,0.7568
VERCIRNON,MLN3126,0.7143
TERODILINE HYDROCHLORIDE,TERODILINE,0.9615
YTTRIUM Y 90 CAPROMAB PENDETIDE,YTTRIUM (90Y) CLIVATUZUMAB TETRAXETAN,1.0
YTTRIUM Y 90 CAPROMAB PENDETIDE,YTTRIUM Y 90 LABETUZUMAB,1.0
YTTRIUM Y 90 CAPROMAB PENDETIDE,YTTRIUM Y 90 EPRATUZUMAB TETRAXETAN,1.0
YTTRIUM Y 90 CAPROMAB PENDETIDE,YTTRIUM Y 90 TACATUZUMAB TETRAXETAN,1.0
ALLYLESTRENOL,ORGANON,1.0
MANIDIPINE,DEXNIGULDIPINE,0.7083
M4344,GARTISERTIB,1.0
AESCULIOSIDE IIID,AESCULIOSIDE IIE,0.9655
AESCULIOSIDE IIID,AESCULIOSIDE IIIC,0.8144
AESCULIOSIDE IIID,AESCULIOSIDE IIIE,1.0
ISOFLUPREDONE ACETATE,BETAMETHASONE ACETATE,0.7313
PERVILLEINE B,PERVILLEINE F,0.7077
PERVILLEINE B,PERVILLEINE C,0.8679
(-)-U-50488,SPIRADOLINE,0.7407
SENNOSIDE B,SENNOSIDE A,1.0
CORYNANTHINE,[3H]RAUWOLSCINE,1.0
HYDROXYSTILBAMIDINE,HYDROXYSTILBAMIDINE ISETHIONATE,0.7436
KAEMPFERIDE,TAMARIXETIN,0.7333
PROTOPORPHYRIN DISODIUM,PROTOPORPHYRIN IX CONTAINING CO,0.8
FISETIN,RESOKAEMPFEROL,0.7778
GARDENIN,5-DEMETHYLNOBILETIN,0.7907
GARDENIN,GARDENIN B,0.7045
CHLOROGENIC ACID,"3,5-DICAFFEOYLQUINIC ACID",0.9111
CARUBICIN,DAUNORUBICIN CITRATE,0.7349
CARUBICIN,SABARUBICIN,0.7297
CHALCONE,4'-HYDROXYCHALCONE,0.7778
S(+)-APOMORPHINE,APOCIDEINE,0.7447
FERROUS SULFATE,MAGNESIUM SULFATE ANHYDROUS,0.75
FERROUS SULFATE,SODIUM SULFATE ANHYDROUS,0.75
ENROFLOXACIN,CIPROFLOXACIN HYDROCHLORIDE,0.7091
(S)-FLUOXETINE,NORFLUOXETINE,0.7
NUTLIN-3,REBEMADLIN,1.0
L-METHYLFOLATE,LEVOLEUCOVORIN,0.8028
MITEMCINAL,EM-523,0.7234
ELAFIN,TIPRELESTAT,1.0
FOSINOPRIL,FOSINOPRIL SODIUM,0.8714
SERELAXIN,IBERIOTOXIN,0.7406
SERELAXIN,CHARYBDOTOXIN,0.7536
QGC-001,FIRIBASTAT,1.0
CIMETROPIUM BROMIDE,BUTYLSCOPOLAMINE,0.7193
5-MEOT,5-METHOXYTRYPTAMINE,1.0
ANGIOTENSIN III,SOR-C13,0.7043
ANGIOTENSIN III,TXA127,0.802
DENOPAMINE,T-0509,0.7778
"[DES-PHE9,DES-ARG10]KALLIDIN",[3H]LYS-[DES-ARG9]BK,0.907
"[DES-PHE9,DES-ARG10]KALLIDIN",[3H]LYS-[LEU8][DES-ARG9]BK,0.8478
"[DES-PHE9,DES-ARG10]KALLIDIN",KALLIDIN,0.907
"[DES-PHE9,DES-ARG10]KALLIDIN",[DES-ARG11]T-KININ,0.7188
"[DES-PHE9,DES-ARG10]KALLIDIN","[DES-PRO8,DES-PHE9,DES-ARG10]KALLIDIN",0.9167
"[DES-PHE9,DES-ARG10]KALLIDIN","[LEU8,DES-ARG9]BRADYKININ",0.734
LTE4,LTD4,0.8545
SAFIT1,RIMIDUCID,0.7356
M617,M40,0.7829
M617,GAL-B5,0.7183
M40,GAL-B5,0.7231
M40,GALANIN(1-11),0.7064
M40,GALANIN(1-19) (HUMAN),0.7823
GNRH I,TRIPTORELIN PAMOATE,0.7638
GNRH I,GNRH III,0.7345
ARPROMIDINE,OXO-ARPROMIDINE,0.7424
"COMPOUND 5 [NOBLE ET AL., 1992]","INOSITOL 2,4,5-TRISPHOSPHATE",0.7826
DYNORPHIN A,DYNORPHIN-(1-11),0.7008
DYNORPHIN A,DYNORPHIN A-(1-13),0.7008
SALVINORIN A,12-EPI-SALVINORIN A,1.0
2-OLEOYL-LPA,2-OLEOYL GLYCEROL,0.7317
2-OLEOYL-LPA,DIOLEOYLPHOSPHATIDIC ACID,0.8
[11C]MMTP,A-794282,0.7358
[125I]NEUROMEDIN U-25 (HUMAN),CHGB (511-532),0.7045
[125I]NEUROMEDIN U-25 (HUMAN),[125I]NEUROMEDIN U-23 (RAT),0.8595
[125I]NEUROMEDIN U-25 (HUMAN),Y-RFRP-3,0.7658
FMOC-L-LEUCINE,N- (9-FLUORENYLMETHOXYCARBONYL)-L-LEUCINE,1.0
[125I]PRRP-20 (HUMAN),[125I]KISSPEPTIN-13 (HUMAN),0.7143
[125I]PRRP-20 (HUMAN),[125I]PRRP31,0.8146
